"RelativePath","FileType","Pre_SHA256","Post_SHA256","File_hash_equal","Semantic_equal","Note"
"notebooks/00_environment.html","html","640230E6C02B1C7108B2E26562C17719422F718F0902DA50A4437B72A422DF86","ea8809a65ebf14c6db8fac32e1a3693216a44a977eeeadb1ade5be8352e11c54",FALSE,,"HTML was regenerated successfully; byte identity is not required"
"notebooks/01_data_inventory.html","html","27093D9273560FA281673B9894707A2832CA5B6679FF111052552082420ECCC7","2a93aa428dcef9bd4f8738c5fe9da726b4687a2f3103fa94bce56254f1716b20",FALSE,,"HTML was regenerated successfully; byte identity is not required"
"notebooks/02_data_extraction.html","html","60706AA50FB9501F719C908C47829A36A799DF0C7E291EFAE517E2C961D60B6A","f2b6e4efb9862f6925abc56c5801edf6f0859a4a3f216aaaf7737803ad4592f2",FALSE,,"HTML was regenerated successfully; byte identity is not required"
"notebooks/03_data_cleaning.html","html","9621B7CF20C3C5B61988E8274580424BE70B56A152EB8FF772A7B10B8153789E","813678978e6682c375f81723617ba2d3beca26f73bfa0485c44abf0b1bf6a864",FALSE,,"HTML was regenerated successfully; byte identity is not required"
"notebooks/04_analysis_ready_data.html","html","6157A4A69F465E357C1264AD46494E24A02845E724E6EBC555E55C290139F668","23834d5d604966f2937bce7fa1f61b02437ec48f80ca485b718ef27cca20fbe8",FALSE,,"HTML was regenerated successfully; byte identity is not required"
"notebooks/05_preliminary_data_suitability_audit.html","html","B42A9C575CF8E4154A1FE9EE70748D3BB6021B9C82E2E55F62EB489F81B32DD4","b42a9c575cf8e4154a1fe9ee70748d3bb6021b9c82e2e55f62eb489f81b32dd4",TRUE,,"HTML was regenerated successfully; byte identity is not required"
"notebooks/06-Polychoric-Input-Diagnostics.html","html","63EE7E0F363EC1F67AB0275DBBCD6809B9F0A0CA38AF3FA72D18E88DA5FCF9DA","f1c93212037bcb717ed3dcfc29484bab5155b5b7575d5e51ed3857afad205827",FALSE,,"HTML was regenerated successfully; byte identity is not required"
"data/extracted/anes_cdf_20260205_extracted_2004_2012_2016_2020_2024.rds","rds","3278F51FA27E100C2FEBF4551CE091C12A735F31C27C972F852278E72AEFEBE4","548afa7986ca5d8b03262e9ebd20f1427fce5523af1a40d089edf893ac3c6192",FALSE,TRUE,"Deserialised R objects are identical"
"data/cleaned/anes_cdf_20260205_cleaned_2004_2012_2016_2020_2024.rds","rds","7E56174EA8B48D0209A906A7AA05FCC6C0783F2C76836DE56F72D31C34DA7C6D","960b6c3b1e0718bc2c9fe3c070c7afff787d3fe06add31f348d8cc1396883f41",FALSE,TRUE,"Deserialised R objects are identical"
"data/analysis_ready/anes_cdf_20260205_analysis_ready_nine_node_complete_case_2004_2012_2016_2020_2024.rds","rds","D39CBF8AE320CC40199C300A812248CBF18963BBC4AFBFEA2B89B7930FCD78BD","6726a0d548f8293e890ad380c4915097fdd4abc1a51665d55e904a33f81432fa",FALSE,TRUE,"Deserialised R objects are identical"
"data/audit/anes_cdf_20260205_sample_flow_nine_node_complete_case_2004_2012_2016_2020_2024.csv","csv","E9D7D0FC812949EE071E645DE5DCBBA41D69CE871ED4032536A58F1D5CB7A3F6","e9d7d0fc812949ee071e645de5dcbba41d69ce871ed4032536a58f1d5cb7a3f6",TRUE,TRUE,"Parsed CSV contents are identical"
"data/audit/anes_cdf_20260205_analysis_ready_pairwise_respondent_overlap_2004_2012_2016_2020_2024.csv","csv","28FC349E580A70001512BA4E9B01DFAEEF2B9DD6124A268288498EAB23DDD456","28fc349e580a70001512ba4e9b01dfaeef2b9dd6124a268288498eab23ddd456",TRUE,TRUE,"Parsed CSV contents are identical"
"data/audit/anes_cdf_20260205_analysis_ready_pairwise_cell_audit_2004_2012_2016_2020_2024.csv","csv","2C47248BB1CF8B5A578062C98C5300C162337AA361D037CAD73833AC88A008FD","2c47248bb1cf8b5a578062c98c5300c162337aa361d037cad73833ac88a008fd",TRUE,TRUE,"Parsed CSV contents are identical"
"data/audit/anes_cdf_20260205_nine_node_complete_case_polychoric_diagnostics_2004_2012_2016_2020_2024.rds","rds","3C66C504316357EEDB6963AD98B863A55F15685EBF4F1A82F3BBC5FC91E74D96","0ae377ec4e71f2aee5f92fa3bf2ca4637bc95bd7869b670b676b28ec56fd7425",FALSE,TRUE,"Substantive diagnostic components identical; hash metadata intentionally migrated from compressed-file gate to file-plus-object hashes"
"data/audit/anes_cdf_20260205_nine_node_complete_case_polychoric_diagnostics_2004_2012_2016_2020_2024.csv","csv","053E173EC0A54B12BD65CF0CF4A14C35EB327F05F4969F41161AB3142F09F0E7","053e173ec0a54b12bd65cf0cf4a14c35eb327f05f4969f41161ab3142f09f0e7",TRUE,TRUE,"Parsed CSV contents are identical"
