"File","Bytes","SHA256"
"notebooks/01B_candidate_pool_16_audit.Rmd",10227,"76d999c68e3afaa09e61981094e62283c371e9a57fdc8e04660c84f4b16bdb7a"
"notebooks/01B_candidate_pool_16_audit.html",953548,"852094dc53da590734cc8011ff9449cd807b26fa846cdb87407f264474e15358"
"R/01B_candidate_pool_16_audit.R",16461,"e29f9085ca8df66ec17f5412cd6175378bc9e304a4c77805f7647dbefe3ef47d"
"R/01B_validate_candidate_pool_16_independently.R",4795,"530461fa9878c1a482355729536bf5af2a7eeebf961dd00a9f946c5a80b18fe2"
"config/candidate_pool_16_codebook_evidence.csv",5309,"ddb3d73f4b97475c0097aa68e5391bfea8889864e599d6f1d8857684f585c322"
"config/candidate_pool_16_secondary_source_evidence.csv",1408,"5230f020d43e9066c771680c3baa04aedd863236cedeb5c641f51aba786ba722"
"project_docs/working/CANDIDATE_POOL_16_RETROSPECTIVE_AUDIT.md",2293,"c2a5116e22f45a0094df11f5cb12b1258497753c3f5aa5275236eeca5fcd6069"
"project_docs/working/CANDIDATE_POOL_16_APPENDIX_SUPPLEMENT_CN.md",3572,"d89cfc08b0085bd4c56efb70999f508cad1d6b3600ce5684cf5920db6d11e593"
"outputs/logs/01B_candidate_pool_16_audit.log",513,"4d1dd68433ece0658d3b092ae15eb0ca87f76079dfedb6030df2e2aa1debd00c"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_2024_missingness_pattern.csv",684,"a0e4ee52a4bfa6a60ed5fed51b9ed2b6cfc908e3e90a8ba1b641c45bb793588b"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_codebook_evidence.csv",5668,"3c3f48959d873bf5471119905aafa66e8ee66a83dc6c62fc558a63720d6c7bea"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_complete_case_validation.csv",94,"d162d9380d04fce0e05430612ef0604f0a2e1b2b9cb53a93384959db8196b014"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_independent_count_comparison.csv",2733,"6d31b0c62c11ae8bcc2857d0d72e086a28ecaa810faa5774ddb09d085a582b33"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_independent_validation.csv",755,"bf7c946b919d348b4a17e3cf768cac064c6bcd2b6e2b817b0bbfd28dedd9fd29"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_input_manifest.csv",1625,"7787ab32f430edca9c2336b1b4576df9e16d1fd4d4d50e8d5129050af0092e08"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_output_manifest.csv",1456,"1a8580163c2fc489c35a863328860f1bd1a055fc8ac24d47012c22dfd75e177c"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_previous_count_differences.csv",360,"2fc10de7b87971e8997dc1b8f26598a83e77e3eedd3271b62076d81cd78fa75f"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_secondary_source_evidence.csv",1458,"139693bf56cbbf860812c27baa6801c811f46d4da95771b8fb4253a650b14372"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_source_discrepancies.csv",2322,"5d466f4e8d5a42347d8f4e4a9720dfd38d05a2201e4a2997dc01666197d67f08"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_summary.csv",6958,"ddd66cdc81e75c531c5f8e7fd66b1dacb2669f8ff7422c22e1dc589e7430b8fb"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_validation.csv",1279,"66493f1dd32a366d527c9ed3c434fcfab95b800c23cb4bc6de37b9ec25216cb9"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_value_frequencies.csv",54181,"67269db852f72fb36cf654827458b1bf40a36d4582bddd4296d2e37b3eb65fd6"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_value_labels.csv",4297,"0ba5519641632d313a983ac97890aeef4d079ccbf59a4f211f12e134528b6b66"
"outputs/tables/supplement/candidate_pool_16_audit/candidate_pool_16_year_availability.csv",21791,"bfe3eaf6f284d79158b9425f1da8b9f30984d9174e128b900c31e5ccdf3ae37a"
