"Group_key","Wave","Education_group","N","Edge_ID","Node_1","Node_2","Edge_label","Point_edge","Retained_under_EBICglasso","Bootstrap_mean","Bootstrap_sd","Reported_CI_lower_sample_plus_or_minus_2SD","Reported_CI_upper_sample_plus_or_minus_2SD","Percentile_CI_2_5","Percentile_CI_97_5","Bootstrap_zero_proportion","Reported_CI_width","Percentile_CI_width","Percentile_CI_includes_zero","Point_sign","Interpretation_status","Descriptive_use","Between_group_inference"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF0809","VCF0806","VCF0809","Health -- Jobs",0.314129811104201,TRUE,0.313282739260765,0.0231397279189875,0.267850355266226,0.360409266942176,0.266429146817965,0.358296276582033,0,0.09255891167595,0.091867129764068,FALSE,"POSITIVE","RETAINED_UNDER_EBICGLASSO_REPORT_ESTIMATE_AND_INTERVAL","May describe direction and approximate magnitude within this single network while reporting the bootstrap interval and its width; interval inclusion of zero is audit information, not a second edge-selection or significance rule; not evidence of a between-group difference.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF0838","VCF0806","VCF0838","Health -- Abortion",0.125051067336339,TRUE,0.121759165842102,0.022362241226936,0.0803265848824664,0.169775549790211,0.0778900267252675,0.165412656894253,0,0.0894489649077446,0.0875226301689855,FALSE,"POSITIVE","RETAINED_UNDER_EBICGLASSO_REPORT_ESTIMATE_AND_INTERVAL","May describe direction and approximate magnitude within this single network while reporting the bootstrap interval and its width; interval inclusion of zero is audit information, not a second edge-selection or significance rule; not evidence of a between-group difference.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF0839","VCF0806","VCF0839","Health -- Services",0.20392354669631,TRUE,0.202851391917502,0.0242436156358621,0.155436315424585,0.252410777968034,0.155248666629568,0.251091859256478,0,0.096974462543449,0.09584319262691,FALSE,"POSITIVE","RETAINED_UNDER_EBICGLASSO_REPORT_ESTIMATE_AND_INTERVAL","May describe direction and approximate magnitude within this single network while reporting the bootstrap interval and its width; interval inclusion of zero is audit information, not a second edge-selection or significance rule; not evidence of a between-group difference.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF0879a","VCF0806","VCF0879a","Health -- Immig. level",0.0318653016463469,TRUE,0.0344080710398018,0.0211216594466851,-0.0103780172470234,0.0741086205397171,0,0.077337587405376,0.074,0.0844866377867405,0.077337587405376,TRUE,"POSITIVE","RETAINED_UNDER_EBICGLASSO_REPORT_ESTIMATE_AND_INTERVAL","May describe direction and approximate magnitude within this single network while reporting the bootstrap interval and its width; interval inclusion of zero is audit information, not a second edge-selection or significance rule; not evidence of a between-group difference.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF0888","VCF0806","VCF0888","Health -- Crime spend",0,FALSE,-0.00693122243709617,0.0162609407940817,-0.0325218815881634,0.0325218815881634,-0.0527955884183837,0.0133492329761565,0.666,0.0650437631763268,0.0661448213945402,TRUE,"ZERO","NOT_RETAINED_UNDER_REGULARISATION_DO_NOT_CALL_ABSENT","State only that the edge was not retained under the frozen regularisation procedure; do not claim absence.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF0890","VCF0806","VCF0890","Health -- School spend",0.0686667330198409,TRUE,0.0716682528141636,0.0259924181398005,0.0166818967402399,0.120651569299442,0.022525903175603,0.126484832209185,0.004,0.103969672559202,0.103958929033582,FALSE,"POSITIVE","RETAINED_UNDER_EBICGLASSO_REPORT_ESTIMATE_AND_INTERVAL","May describe direction and approximate magnitude within this single network while reporting the bootstrap interval and its width; interval inclusion of zero is audit information, not a second edge-selection or significance rule; not evidence of a between-group difference.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF0894","VCF0806","VCF0894","Health -- Welfare",0.139265758439623,TRUE,0.13856756179902,0.0250007891559844,0.089264180127654,0.189267336751592,0.0913898729507902,0.185891705466037,0,0.100003156623938,0.0945018325152468,FALSE,"POSITIVE","RETAINED_UNDER_EBICGLASSO_REPORT_ESTIMATE_AND_INTERVAL","May describe direction and approximate magnitude within this single network while reporting the bootstrap interval and its width; interval inclusion of zero is audit information, not a second edge-selection or significance rule; not evidence of a between-group difference.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0806--VCF9223","VCF0806","VCF9223","Health -- Immig. jobs",0,FALSE,9.16645820829874e-05,0.0116612401504641,-0.0233224803009281,0.0233224803009281,-0.0282106915770329,0.0258192506584351,0.707,0.0466449606018562,0.054029942235468,TRUE,"ZERO","NOT_RETAINED_UNDER_REGULARISATION_DO_NOT_CALL_ABSENT","State only that the edge was not retained under the frozen regularisation procedure; do not claim absence.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809--VCF0838","VCF0809","VCF0838","Jobs -- Abortion",0,FALSE,-0.00263004111652951,0.0131083540753408,-0.0262167081506815,0.0262167081506815,-0.0394190853987419,0.0220072272732516,0.7,0.052433416301363,0.0614263126719935,TRUE,"ZERO","NOT_RETAINED_UNDER_REGULARISATION_DO_NOT_CALL_ABSENT","State only that the edge was not retained under the frozen regularisation procedure; do not claim absence.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809--VCF0839","VCF0809","VCF0839","Jobs -- Services",0.163383496686603,TRUE,0.16329085727798,0.0240806375668092,0.115222221552985,0.211544771820222,0.114006228146142,0.207256002555455,0,0.096322550267237,0.093249774409313,FALSE,"POSITIVE","RETAINED_UNDER_EBICGLASSO_REPORT_ESTIMATE_AND_INTERVAL","May describe direction and approximate magnitude within this single network while reporting the bootstrap interval and its width; interval inclusion of zero is audit information, not a second edge-selection or significance rule; not evidence of a between-group difference.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
"2012__no_college_degree",2012,"No college degree",2773,"VCF0809--VCF0879a","VCF0809","VCF0879a","Jobs -- Immig. level",0,FALSE,-0.0075421692463875,0.015058465525665,-0.0301169310513301,0.0301169310513301,-0.0469718020066546,0.0121138323138647,0.632,0.0602338621026602,0.0590856343205193,TRUE,"ZERO","NOT_RETAINED_UNDER_REGULARISATION_DO_NOT_CALL_ABSENT","State only that the edge was not retained under the frozen regularisation procedure; do not claim absence.","NOT_PERFORMED_AND_NOT_PERMITTED_FROM_THIS_TABLE"
