"artifact_path","artifact_role","exists_at_manifest_creation","bytes","sha256","notes"
"D:/ANES_Dissertation_Data/intermediate/anes_timeseries_cdf_stata_20260205.dta","cdf_input","TRUE","609440121","45323C30FAEE1E9E67C2351C4302C31472B117050BEF240D9339A264E2F3E078",""
"data/audit/D11_PAIRWISE_20260828/D11_ALL_NODE_MISSING_CASES.csv","diagnostic_output","TRUE","3869","576C9378FDB1EF7C74C8BB2F71C50D6AA747749292FF1E9077C3E07F87413834",""
"data/audit/D11_PAIRWISE_20260828/D11_CONDITION_LOG.csv","diagnostic_output","TRUE","942","620A7CBFE73B61D99676CA827951F01A13C167F7918EE4EEB49E5562C365CAAB",""
"data/audit/D11_PAIRWISE_20260828/D11_CONDITION_SUMMARY.csv","diagnostic_output","TRUE","254","066AB8BB2F22D5A5DF5131B1EA428B020713BCA17322F0137BEE6AC9B448C889",""
"data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2004.csv","diagnostic_output","TRUE","1513","6A79A449B794FE7E57947D6D7BD7959F94E3C916FD4B9BB0903AA70F02967429",""
"data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2012.csv","diagnostic_output","TRUE","1485","A46631F0328AE973A273AC2BFD957AF13D9C73047DF87E207FE2AC30E71AF182",""
"data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2016.csv","diagnostic_output","TRUE","1483","D13BBF68B23D4097677A3286DCDD6D8048BFC1D70DD76C4AF6DC5452A8D657CC",""
"data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2020.csv","diagnostic_output","TRUE","1483","7D598E978CF7CAAFDE63D43006237FCB36B8276B3799956838C369E969C7B946",""
"data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2024.csv","diagnostic_output","TRUE","1487","0D7DFD9EA391FE423A11D5CF8395369D02588B760CA1BEF42BD292D592985742",""
"data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_LONG.csv","diagnostic_output","TRUE","15676","659BB8B537387A373D5FD34F169074B13C05A2F30480495E1C284E11D777A683",""
"data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_TYPES.csv","diagnostic_output","TRUE","36805","6E8F5A662B32D5F85BEE5EC7458AE6E1E65004F78F27AA85C2B07CCE10BFAA52",""
"data/audit/D11_PAIRWISE_20260828/D11_EIGENVALUES.csv","diagnostic_output","TRUE","1198","D3DBA988067D4B5ACF32A9D5F982D0014EB5E18C3F5EAC3B3F3476C0BAD23960",""
"data/audit/D11_PAIRWISE_20260828/D11_MATRIX_CHECKS.csv","diagnostic_output","TRUE","1817","DA415921D9F970CD3D76C3B287554A917CB3A4996326517034E000E49652E5DE",""
"data/audit/D11_PAIRWISE_20260828/D11_NODE_FREQUENCIES.csv","diagnostic_output","TRUE","10796","DD5CBCD95E347FDD64FCB70B9191D8472F6A3D6CFEC3574F4332205710507556",""
"data/audit/D11_PAIRWISE_20260828/D11_OUTPUT_HASH_MANIFEST.csv","diagnostic_output","TRUE","4839","DE8FFD4C25BA4B8FA6058270614F64028BF8F97F2253250CB0AC5B552269D57E",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_CELL_COUNTS.csv","diagnostic_output","TRUE","205791","9459F869EEFABE87FABFEDE5C1B7C85BD1625F89B60FAF9BC426CFDB55CDCF10",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_CELL_SUMMARY.csv","diagnostic_output","TRUE","17737","4521578957870C68078B3538091166BC5F8F8A131A8D518A96951702381F8745",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2004.csv","diagnostic_output","TRUE","546","17A6A70F6E888A23FC46E79CEC858612C80D46F5E78168DA4BF254039C00E883",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2012.csv","diagnostic_output","TRUE","566","2DC9DE34A9ADE17E219A6831064582E02BB6210875B0D46FF373A9E83F75C588",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2016.csv","diagnostic_output","TRUE","566","5CB463D19F7B364401FDFB83C158A6C048B1DCCA9B1181D8C7DB3EAF8590D69B",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2020.csv","diagnostic_output","TRUE","566","95145236E312928CDA40BC1344A4E942B510FEED269E65A12EA3E83CA81D35D0",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2024.csv","diagnostic_output","TRUE","566","BBDEA9BBB004A23F0A1793F1E8AE1A99CBA0E4AADD7C7639C26F1F5347B26E87",""
"data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_LONG.csv","diagnostic_output","TRUE","11034","49E8DF27A6F3E05710F3512AB95A22CC0D6A6F2829CC0A2AD97F3677EA281820",""
