year,node1,node2,correlation
2004,VCF0806,VCF0806,1
2004,VCF0809,VCF0806,0.545745182651188
2004,VCF0838,VCF0806,0.111471079246521
2004,VCF0839,VCF0806,0.461258363290512
2004,VCF0888,VCF0806,-0.0181815560047113
2004,VCF0890,VCF0806,0.319079763683983
2004,VCF0894,VCF0806,0.249787441947678
2004,VCF0879a,VCF0806,0.0995652603664963
2004,VCF9223,VCF0806,-0.0611215074605249
2004,VCF0806,VCF0809,0.545745182651188
2004,VCF0809,VCF0809,1
2004,VCF0838,VCF0809,0.130771355659765
2004,VCF0839,VCF0809,0.439492310929308
2004,VCF0888,VCF0809,0.023867544334297
2004,VCF0890,VCF0809,0.366341363004891
2004,VCF0894,VCF0809,0.419969859041337
2004,VCF0879a,VCF0809,0.0527818049196746
2004,VCF9223,VCF0809,-0.0916882384276038
2004,VCF0806,VCF0838,0.111471079246521
2004,VCF0809,VCF0838,0.130771355659765
2004,VCF0838,VCF0838,1
2004,VCF0839,VCF0838,0.153783688184841
2004,VCF0888,VCF0838,-0.0838420945564748
2004,VCF0890,VCF0838,0.132325216774809
2004,VCF0894,VCF0838,0.0798643878158854
2004,VCF0879a,VCF0838,0.0935576651244204
2004,VCF9223,VCF0838,0.133040729306133
2004,VCF0806,VCF0839,0.461258363290512
2004,VCF0809,VCF0839,0.439492310929308
2004,VCF0838,VCF0839,0.153783688184841
2004,VCF0839,VCF0839,1
2004,VCF0888,VCF0839,0.0697619724087942
2004,VCF0890,VCF0839,0.467843882724849
2004,VCF0894,VCF0839,0.38318304693898
2004,VCF0879a,VCF0839,0.00715027791661149
2004,VCF9223,VCF0839,-0.130585803460077
2004,VCF0806,VCF0888,-0.0181815560047113
2004,VCF0809,VCF0888,0.023867544334297
2004,VCF0838,VCF0888,-0.0838420945564748
2004,VCF0839,VCF0888,0.0697619724087942
2004,VCF0888,VCF0888,1
2004,VCF0890,VCF0888,0.305544902680548
2004,VCF0894,VCF0888,0.0478273842516819
2004,VCF0879a,VCF0888,-0.170125721051056
2004,VCF9223,VCF0888,-0.20575376452453
2004,VCF0806,VCF0890,0.319079763683983
2004,VCF0809,VCF0890,0.366341363004891
2004,VCF0838,VCF0890,0.132325216774809
2004,VCF0839,VCF0890,0.467843882724849
2004,VCF0888,VCF0890,0.305544902680548
2004,VCF0890,VCF0890,1
2004,VCF0894,VCF0890,0.341695147767074
2004,VCF0879a,VCF0890,0.071869048405487
2004,VCF9223,VCF0890,-0.0927388483543511
2004,VCF0806,VCF0894,0.249787441947678
